ranking,player_name,jorsey_name,country,tournaments,points
488,Sanjeevi Padmanabhan Vasudevan,VASUDEVAN,Germany,6,1840
488,Siddhartha Mishra,MISHRA,India,6,1840
490,Fei Long Ao,AO,Macau China,4,1840
491,Chun Sin Yap,YAP,Malaysia,2,1840
491,Tae Ern Ong,ONG,Malaysia,2,1840
491,Ahmad Balarabe Umar,UMAR,Nigeria,2,1840
491,Mujittapha Umar,UMAR,Nigeria,2,1840
491,Hoe Keat Oon,OON,Australia,2,1840
496,Viacheslav Yakovlev,YAKOVLEV,Ukraine,11,1833
497,Darshan Pujari,PUJARI,India,3,1830
497,Johnathan Akin-Mulrooney,AKIN-MULROONEY,Canada,3,1830
499,Kai Niederhuber,NIEDERHUBER,Austria,12,1820
500,Muzafaru Lubega,LUBEGA,Uganda,3,1820
501,Yash Yogi,YOGI,India,5,1800
502,Zaw Lin Htoo,HTOO,Myanmar,4,1790
503,Brent Guo,GUO,Australia,3,1790
504,Kenneth Comfort Mwambu,MWAMBU,Uganda,5,1786
505,Bima Al Ayman Modjo,MODJO,Indonesia,4,1780
506,Aljallad Ahmad,AHMAD,Syrian Arab Republic,4,1770
506,Luca Zhou,ZHOU,Italy,4,1770
508,Ali Hayati,HAYATI,Iran,3,1770
509,Melvin Appiah,APPIAH,Mauritius,4,1760
510,Yun Ze Li,LI,China,2,1760
511,Fang Keat Koo,KOO,Malaysia,5,1740
512,Callum Smith,SMITH,Scotland,4,1734
513,Philip Brandt,BRANDT,Denmark,2,1730
513,Pranay Shettigar,SHETTIGAR,India,2,1730
515,Camilo Borst,BORST,Germany,9,1710
515,Sid Palakkal,PALAKKAL,England,9,1710
517,Chun Chung Hung,HUNG,Chinese Taipei,1,1700
518,Aditya Gupta,GUPTA,India,2,1690
519,Peter Yan,YAN,Australia,1,1670
520,Leonard Manuel,MANUEL,Northern Marianas,4,1640
521,Ajay Satish Kumar Nair,NAIR,India,3,1640
522,Victor Ho,HO,Canada,7,1620
523,Lai Yin Chung,CHUNG,Canada,4,1620
524,Zong Ruei Lee,LEE,Chinese Taipei,2,1620
525,Daniel Zhou,ZHOU,Canada,4,1610
526,Hing Long Wong,WONG,Canada,6,1580
527,Axel Henrik Parkhøi,PARKHØI,Denmark,5,1580
528,Muhammad Ariffuddin Radin,RADIN,Malaysia,6,1560
529,Abhinav Thakur,THAKUR,India,5,1550
530,Mustaopha Muhammed,MUHAMMED,Nigeria,2,1543
531,Joshua Apiliga,APILIGA,Scotland,2,1540
532,Muhammad Febriansyah,FEBRIANSYAH,Indonesia,3,1533
533,Mark Anthony Velasco,VELASCO,Philippines,2,1520
533,Abhinaav Karthikrajan,KARTHIKRAJAN,India,2,1520
533,Emmanuel Olusegun Ogunsanwo,OGUNSANWO,Nigeria,2,1520
536,Muhammad Faiq,FAIQ,Malaysia,1,1520
536,Athi Selladurai,SELLADURAI,Australia,1,1520
536,Julian Mao Lun Lee,LEE,Australia,1,1520
536,Ruan Snyman,SNYMAN,South Africa,1,1520
536,Jing Yi Zhang,ZHANG,China,1,1520
536,Milain Lohith Ranasinghe,RANASINGHE,Australia,1,1520
536,Rahul Yadav Chittaboina,CHITTABOINA,India,1,1520
543,Muath Alghamdi,ALGHAMDI,Saudi Arabia,10,1500
544,Danila Gataullin,GATAULLIN,Norway,9,1500
545,Ramiro Alonso Espinoza,ESPINOZA,Guatemala,3,1500
546,Shreyansh Jaiswal,JAISWAL,India,4,1490
547,Bevan Cox,COX,New Zealand,3,1490
548,Johan Azelius,AZELIUS,Sweden,3,1480
549,Moh. Zaki Ubaidillah,UBAIDILLAH,Indonesia,2,1470
549,Kennet Suria,SURIA,El Salvador,2,1470
549,Shrey Dhand,DHAND,Australia,2,1470
549,Felix Dureil Nkonomo Bengono,BENGONO,Cameroon,2,1470
549,Jonathan Mcdonald,MCDONALD,England,2,1470
549,Siril Verma,VERMA,India,2,1470
549,Minjava Sulthoni Mukminin,MUKMININ,Indonesia,2,1470
556,Alberto Perals,PERALS,Spain,5,1460
557,Tanawat Yimjit,YIMJIT,Thailand,4,1450
558,Estuardo Del Valle Leisbeth,LEISBETH,Guatemala,3,1450
558,Emmanuel Stephen Sam,SAM,Australia,3,1450
560,Kuan-Chih Shih,SHIH,Chinese Taipei,4,1420
561,Ashel Dziva,DZIVA,Zimbabwe,4,1410
562,William Bøgebjerg,BØGEBJERG,Denmark,2,1390
563,Kareem Ezzat,EZZAT,Egypt,3,1376
564,Akash Singh,SINGH,India,4,1370
565,Michel Henri Assembe,ASSEMBE,Cameroon,3,1349
566,Iliyan Stoynov,STOYNOV,Bulgaria,3,1340
567,Mohamed Ajfan Rasheed,RASHEED,Maldives,8,1330
568,Utchan Ruaysap,RUAYSAP,Thailand,4,1330
569,Rui Yang Ryan Tan,TAN,Singapore,6,1310
570,Guilhem Hoyaux,HOYAUX,France,3,1310
570,Jose Rendon Chirinos,CHIRINOS,Peru,3,1310
570,Tien Tuan Nguyen,NGUYEN,Vietnam,3,1310
573,Remus Ng,NG,Singapore,3,1290
574,Binghong Ye,YE,USA,1,1290
575,Daniel Macario,MACARIO,Northern Marianas,2,1280
575,Bishnu Katwal,KATWAL,Nepal,2,1280
575,Yu Cheng Chen,CHEN,Chinese Taipei,2,1280
575,Allan Zeng,ZENG,Guam,2,1280
575,Idrisse Issofo Mossagy,MOSSAGY,Mozambique,2,1280
575,Brian Lubao,LUBAO,Northern Marianas,2,1280
575,Sheng Po Yu,YU,Chinese Taipei,2,1280
575,Paulo Quidato,QUIDATO,Northern Marianas,2,1280
583,Trinity Chipumho,CHIPUMHO,Zimbabwe,2,1270
583,Joseph Emmanuel Emmy,EMMY,Nigeria,2,1270
583,Peter Poho,POHO,Zambia,2,1270
583,Khalil Safana Shamsuddeen,SHAMSUDDEEN,Nigeria,2,1270
587,Nawaf Alghamdi,ALGHAMDI,Saudi Arabia,7,1260
588,Xing Huong Goh,GOH,Australia,3,1230
588,Mads Thøgersen,THØGERSEN,Denmark,3,1230
588,Wei Hsuan Lu,LU,Chinese Taipei,3,1230
591,Ananda Galvani Daniswara,DANISWARA,Finland,3,1210
592,Muhammad Irfan Saeed Bhatti,BHATTI,Pakistan,2,1200
592,Murad Ali,ALI,Pakistan,2,1200
592,Romeo Makboul,MAKBOUL,Sweden,2,1200
595,Anish Gurung,GURUNG,Bhutan,1,1200
595,Sunil Joshi,JOSHI,Nepal,1,1200
595,Jimba Sangay Lhendup,LHENDUP,Bhutan,1,1200
595,Sumiyasuren Enkhbat,ENKHBAT,Mongolia,1,1200
600,Raymond Webster,WEBSTER,England,8,1190
601,Andrzej Niczyporuk,NICZYPORUK,Poland,7,1190
602,Welton Menezes,MENEZES,Brazil,3,1175
603,Adith Karthikeyan Priya,PRIYA,Netherlands,5,1170
604,Eason Wong,WONG,Canada,3,1170
605,Kaito Sugawara,SUGAWARA,Japan,1,1170
605,An Chi Chen,CHEN,Chinese Taipei,1,1170
607,Jonas Petkus,PETKUS,Lithuania,7,1167
608,Lorrain Joliat,JOLIAT,Switzerland,8,1160
609,Loic Bertil,BERTIL,Réunion,3,1160
610,Joon Hyeok Park,PARK,Korea,2,1130
610,Sheng Lyu,LYU,USA,2,1130
610,Dylan Ooi,OOI,Malaysia,2,1130
613,Richard Kuhl,KUHL,Sweden,7,1120
614,Ze Xi Sean Ngu,NGU,Malaysia,6,1120
615,Yu-Jui Lee,LEE,Chinese Taipei,4,1120
616,Siva Khabilan,KHABILAN,Malaysia,3,1120
616,Manraj Singh,SINGH,India,3,1120
618,José Alejandro Orellana,ORELLANA,El Salvador,2,1117
619,Abdelrahman Abdelhakim,ABDELHAKIM,Egypt,7,1110
620,Mykhailo Vyshnevyi,VYSHNEVYI,Ukraine,9,1100
621,Ming Yap Too,TOO,Malaysia,4,1100
621,Khemtish Rai Nundah,NUNDAH,Mauritius,4,1100
623,Rohan Thool,THOOL,England,3,1090
624,Ian Lubao,LUBAO,Northern Marianas,4,1080
625,Yonathan Ramlie,RAMLIE,Indonesia,3,1080
625,Rohan Gurbani,GURBANI,India,3,1080
627,Shaun Ekengren,EKENGREN,Sweden,8,1070
628,Chih Chieh Yang,YANG,Chinese Taipei,4,1070
628,Siddhartha Turaga,TURAGA,India,4,1070
630,Zack Bobrowski,BOBROWSKI,England,9,1060
631,Ramnish Kumar,KUMAR,Canada,6,1060
631,Charlie Castle,CASTLE,England,6,1060
633,Mun Dick Tan,TAN,Malaysia,4,1060
634,Alejandro Chueca Sanchez,SANCHEZ,Peru,3,1060
635,Arun Kumar Ashok Kumar,KUMAR,England,8,1050
636,Dickon Khoo,KHOO,Malaysia,5,1050
637,Martin Bundgaard,BUNDGAARD,Denmark,3,1050
638,Daigo Tanioka,TANIOKA,Japan,2,1050
639,David Silva,SILVA,Portugal,8,1030
640,Woraphop Chuenkha,CHUENKHA,Thailand,4,1030
641,Alvaro Vazquez,VAZQUEZ,Spain,3,1030
642,Abheesh Satheerthan,SATHEERTHAN,United Arab Emirates,2,1020
642,Aneesh Nirmal,NIRMAL,Australia,2,1020
642,Wei-Cheng Su,SU,Chinese Taipei,2,1020
645,Rayane Gallen,GALLEN,France,3,1010
646,Albin Carl Hjelm,HJELM,Sweden,3,1000
647,Xavier Chan Fung Ting,TING,Réunion,2,990
647,Momoh Nusa,NUSA,Nigeria,2,990
649,Andre Irpola,IRPOLA,Sweden,10,980
650,Jan Janoštík,JANOŠTÍK,Czech Republic,6,980
651,Victor Ikechukwu,IKECHUKWU,Nigeria,2,980
652,Ahmed Oduka,ODUKA,Uganda,3,970
653,Szymon Stokfisz,STOKFISZ,Poland,8,960
654,Ogunsanwo David Oluwasegun,OLUWASEGUN,Nigeria,2,960
654,Fabrizio Valdivieso Negri,NEGRI,Peru,2,960
654,Yousif Alhumairi,ALHUMAIRI,Iraq,2,960
654,Muteeb Dar,DAR,England,2,960
658,Kean Wei Tan,TAN,Malaysia,3,950
659,Orcun Ozturk,OZTURK,Turkiye,2,950
659,Bwalya Chanda,CHANDA,Zambia,2,950
659,Santiago Lozoya,LOZOYA,Mexico,2,950
662,Harry Jones,JONES,England,2,940
662,Mathis Chanthakesone,CHANTHAKESONE,Switzerland,2,940
664,Jacob Zhang,ZHANG,USA,3,930
664,Alan Martin,MARTIN,Australia,3,930
666,Blessing Mahwire,MAHWIRE,Zimbabwe,2,921
667,Teodor Ioan Cioroboiu,CIOROBOIU,Romania,2,920
667,Pedro Mendonça,MENDONÇA,Brazil,2,920
667,Segun Obasanjo Idowu,IDOWU,Nigeria,2,920
670,Balraj Kajla,KAJLA,India,1,920
670,Joshua Feng,FENG,New Zealand,1,920
670,Olorunfemi Emmanuel Ayobami,AYOBAMI,Nigeria,1,920
670,Rushendra Thirupathi,THIRUPATHI,India,1,920
670,Jason Anthony Ho-Shue,HO-SHUE,Canada,1,920
670,Daniel Hillier,HILLIER,New Zealand,1,920
670,Kartik Jindal,JINDAL,India,1,920
670,Lino Munoz,MUNOZ,Mexico,1,920
670,Sora Ogaki,OGAKI,Japan,1,920
670,Kevin Shi,SHI,USA,1,920
670,Jhoalbert Andrey Laverde Perez,PEREZ,Venezuela,1,920
670,Andrew Rouse,ROUSE,New Zealand,1,920
670,Waleson Vinicios Evangelista Dos Santos,SANTOS,Brazil,1,920
670,Timothy Lock,LOCK,Canada,1,920
670,Tony Fang,FANG,New Zealand,1,920
670,Buzurgmehri Abdulmajid,ABDULMAJID,Tajikistan,1,920
670,Yu-Kai Wang,WANG,Chinese Taipei,1,920
670,Gavin Kyjac Ong,ONG,Australia,1,920
670,Chao Yu Kan,KAN,Canada,1,920
670,Gabriel Cury,CURY,Brazil,1,920
670,Mateus Carrijo Cutti,CUTTI,Brazil,1,920
670,Richard Avila,AVILA,Venezuela,1,920
670,Andreau Galvez,GALVEZ,Northern Marianas,1,920
670,Michael Ji,JI,Canada,1,920
670,Sri Kolla,KOLLA,USA,1,920
670,Miguel Marinez,MARINEZ,Dominican Republic,1,920
670,William Barrios,BARRIOS,Venezuela,1,920
670,Torres Ricardo,RICARDO,Venezuela,1,920
670,Hao Da Liu,LIU,China,1,920
670,Daniel Christopher Egbonyi,EGBONYI,Nigeria,1,920
670,Kevin Wang,WANG,Canada,1,920
670,Jack Jiang,JIANG,New Zealand,1,920
670,Tony Chen,CHEN,New Zealand,1,920
670,Anishraj Rajkumar,RAJKUMAR,India,1,920
709,Pascal Nolem,NOLEM,Cameroon,2,910
709,Nathan Appave,APPAVE,Canada,2,910
709,Chuan Zhe Tai,TAI,Malaysia,2,910
712,Armin Sarosi,SAROSI,Austria,10,900
713,Gagan Balyan,BALYAN,India,3,890
714,Derek Yu,YU,Canada,4,880
715,Ben Hammond,HAMMOND,England,3,880
716,Akili Haynes,HAYNES,Guyana,2,870
716,Yu See,SEE,Chinese Taipei,2,870
716,Mohammed Munawar,MUNAWAR,United Arab Emirates,2,870
719,Rafael Gavois,GAVOIS,France,7,850
720,Gonzalo Sebastian Castillo Salazar,SALAZAR,Peru,3,840
721,Andrei Don,DON,Ukraine,8,830
722,Adarsh Palani Kumar,KUMAR,England,12,820
723,Lance Gabriel Vargas,VARGAS,Philippines,3,810
724,Mads Emil Monke,MONKE,Denmark,2,810
724,Søren Hald,HALD,Denmark,2,810
724,Seif Omar,OMAR,Egypt,2,810
724,Reagan Micheal Nsubuga,NSUBUGA,Uganda,2,810
724,Sayfiddin Mukhtarov,MUKHTAROV,Uzbekistan,2,810
729,Christopher Alexander Martinez Salvador,SALVADOR,Guatemala,1,808
730,Christian Faust Kjær,KJÆR,Denmark,3,800
730,Alvaro Rio,RIO,Mexico,3,800
732,Baptiste Rolin,ROLIN,Belgium,4,790
733,Helmer Andersson,ANDERSSON,Sweden,3,790
733,Charan Naik Kelavathu,KELAVATHU,India,3,790
735,Senne Houthoofd,HOUTHOOFD,Belgium,6,780
736,Muhammad Adam,ADAM,Malaysia,3,780
737,Thomas Katerega,KATEREGA,Uganda,3,770
738,Oswald Ash Fano-Dosh,FANO-DOSH,Benin,2,770
739,Rasmus Careø Christensen,CHRISTENSEN,Denmark,6,760
740,Quoc Khanh Tran,TRAN,Vietnam,2,760
740,Ernick Zorrilla,ZORRILLA,Dominican Republic,2,760
740,Alden Lefilson Putra Mainaky,MAINAKY,Indonesia,2,760
740,Van Mai Nguyen,NGUYEN,Vietnam,2,760
744,Shaurya Gullaiya,GULLAIYA,Canada,3,750
745,Michael Su,SU,Australia,2,750
746,Danielius Berzanskis,BERZANSKIS,Lithuania,7,740
747,Dragoslav Petrovic,PETROVIC,Serbia,6,740
748,Varot Uraiwong,URAIWONG,Thailand,3,740
748,Muhammad Alif Ahmad Fairuzly,FAIRUZLY,Malaysia,3,740
750,Kar Lung Chun,CHUN,England,4,730
751,Luis Pongratz,PONGRATZ,Germany,2,730
751,Azmy Qowimuramadhoni,QOWIMURAMADHONI,Azerbaijan,2,730
751,Artur Niyazov,NIYAZOV,Kazakhstan,2,730
754,Alessandro Gozzini,GOZZINI,Italy,8,720
755,Raghvender Raghvender,RAGHVENDER,India,4,720
756,Daniell Pablo,PABLO,Northern Marianas,2,720
756,Melvin Calzadilla,CALZADILLA,El Salvador,2,720
756,Patrick Chi,CHI,USA,2,720
756,Chen Yang Hu,HU,Guam,2,720
756,Nicky Yemin Aung,AUNG,Canada,2,720
756,Dylan Chan,CHAN,New Zealand,2,720
762,Danylo Skrynnik,SKRYNNIK,Ukraine,4,710
763,Kalei Kuan-Veng Kuong,KUONG,Peru,2,710
764,Fred Kirabo,KIRABO,Uganda,2,700
764,Ziad Hesham,HESHAM,Egypt,2,700
764,Yu Liang Chang,CHANG,Chinese Taipei,2,700
764,Marvin Chisela,CHISELA,Zambia,2,700
764,Edvard Hylander,HYLANDER,Sweden,2,700
764,Bengy Laime,LAIME,Peru,2,700
770,James Robertson,ROBERTSON,Scotland,11,699
771,Makhsut Tadzhibullaev,TADZHIBULLAEV,Kazakhstan,3,690
772,Jeshwin Arul Jebaresh Isaac,ISAAC,India,4,680
773,Akbar Oduka,ODUKA,Uganda,2,680
773,Bayken Ibray,IBRAY,Kazakhstan,2,680
773,Alyaan Mawani,MAWANI,Uganda,2,680
776,Shun Tian Lim,LIM,Singapore,4,670
777,Thanh Dat Bui,BUI,Vietnam,3,670
778,Harshal Bhoyar,BHOYAR,India,2,670
779,Aleksi Mäki,MÄKI,Finland,7,660
780,Ka Wai Ng,NG,England,4,660
781,Ferry Kurniawan,KURNIAWAN,Australia,1,660
781,Kemar Valentine,VALENTINE,Jamaica,1,660
781,Joel Angus,ANGUS,Jamaica,1,660
781,Nathaniel Finzi,FINZI,Jamaica,1,660
781,Keiber Alberto Peñalver Rivas,RIVAS,Venezuela,1,660
781,Zane Reid,REID,Jamaica,1,660
787,Justin Seibel,SEIBEL,Germany,8,650
788,Ian Moromisato Namisato,NAMISATO,Peru,3,650
789,Juan Alexis Acosta,ACOSTA,Dominican Republic,2,650
789,Alejandro Daniel Avalos,AVALOS,Paraguay,2,650
789,Bouksani Abderrahim,ABDERRAHIM,Algeria,2,650
792,Hassan Hisham Mohamed,MOHAMED,Maldives,3,640
793,Jonathan Dresp,DRESP,Germany,2,640
794,Yazan Saigh,SAIGH,Saudi Arabia,7,630
794,Abdullah Aldawsari,ALDAWSARI,Saudi Arabia,7,630
796,Expedito Emuddu,EMUDDU,Uganda,3,630
796,Takeru Kai,KAI,Australia,3,630
798,Michael Tomic,TOMIC,Austria,12,620
799,Christian Tomic,TOMIC,Austria,8,620
800,Jamie Pearcy,PEARCY,England,8,610
801,Anosch Ali,ALI,Germany,7,610
802,Ludvig Petre Olsson,OLSSON,Sweden,6,600
803,Saketh Upadhya,UPADHYA,USA,3,600
803,Tukum Laa,LAA,India,3,600
803,Hanz Haiqal,HAIQAL,Malaysia,3,600
806,Jhonatan Wu  Zheng,ZHENG,Venezuela,2,600
806,Victor Lai,LAI,USA,2,600
806,Tauri Kilk,KILK,Estonia,2,600
809,Surya Ganesh,GANESH,Zambia,1,600
809,Kevin Fu,FU,USA,1,600
809,Jean Yves Tokou,TOKOU,Ivory Coast,1,600
809,Kalonde Charles,CHARLES,Zambia,1,600
809,Mohammad Falamarzi,FALAMARZI,United Arab Emirates,1,600
809,Yazgan Calisir,CALISIR,Turkiye,1,600
809,Li Chi Chen,CHEN,Chinese Taipei,1,600
809,Rui Sato,SATO,Japan,1,600
809,Alejandro Àvalos,ÀVALOS,Paraguay,1,600
809,Taolo Kareng,KARENG,Botswana,1,600
809,Edwin Garcia,GARCIA,Mexico,1,600
809,Fu-Yang Chiang,CHIANG,Chinese Taipei,1,600
809,Julien Wadoud Totin,TOTIN,Benin,1,600
809,Daniel La Torre  Regal,REGAL,Peru,1,600
809,Martin Kangwa,KANGWA,Zambia,1,600
809,Phillip Amwata,AMWATA,South Africa,1,600
809,Mwansa Rodrick,RODRICK,Zambia,1,600
809,Gilbert Mwiya,MWIYA,Zambia,1,600
809,Gbenakpon  Franck Allognon,ALLOGNON,Benin,1,600
809,Yu Che Liu,LIU,Chinese Taipei,1,600
809,Wesley Kafunda,KAFUNDA,Zambia,1,600
809,Jonathan Molineros Ochoa,OCHOA,Guatemala,1,600
809,Fabián Alejandro Sagastume Bustamante,BUSTAMANTE,Guatemala,1,600
832,Diogo Gloria,GLORIA,Portugal,6,580
833,Kaylan Jensen,JENSEN,England,5,570
833,Harsh Arora,ARORA,India,5,570
835,Ibrahim Ali Haisham,HAISHAM,Maldives,3,570
836,Wilson Li,LI,Australia,2,570
836,Thomas Zi Xuan Ng,NG,Australia,2,570
836,Jayden Lim,LIM,Australia,2,570
836,Rhitvik Mohanty,MOHANTY,India,2,570
836,William Sayaphet,SAYAPHET,Australia,2,570
836,Kah Wei Tan,TAN,Australia,2,570
842,Harshit Thakur,THAKUR,India,4,560
843,Benjamin Bahamondez,BAHAMONDEZ,Chile,2,560
843,Asadbek Olimjanov,OLIMJANOV,Uzbekistan,2,560
845,Kristof Toth,TOTH,Hungary,6,550
846,Saahen Shetty,SHETTY,England,1,550
846,Winder Alfonzo Rodriguez,RODRIGUEZ,Venezuela,1,550
846,Don Henley Averia,AVERIA,USA,1,550
846,Hai Dang Vu,VU,Vietnam,1,550
846,Mestapaha Kessari,KESSARI,Algeria,1,550
846,Paul Christ Assembe Voundi,VOUNDI,Cameroon,1,550
846,Donnians Oliveira,OLIVEIRA,Brazil,1,550
846,Hin Lam Chin,CHIN,Australia,1,550
846,Young Min Kim,KIM,Korea,1,550
846,Aly Ashraf,ASHRAF,Egypt,1,550
846,Jose Pereira,PEREIRA,Venezuela,1,550
846,Oussama Keddou,KEDDOU,Algeria,1,550
846,Daniel Antonio Acosta Hilario,HILARIO,Dominican Republic,1,550
846,Seong Kyu Ji,JI,Korea,1,550
846,Joiser Calanche,CALANCHE,Venezuela,1,550
846,Javier Jesus Palacio Calderon,CALDERON,Venezuela,1,550
846,Wen Jie Liew,LIEW,Malaysia,1,550
846,Fred Nyaribo Momanyi,MOMANYI,Kenya,1,550
846,Teodomiro Obiang Nguema Nfono,NFONO,Equatorial Guinea,1,550
846,Ros Leonard Pedrosa,PEDROSA,Philippines,1,550
846,Vance Juteram,JUTERAM,Trinidad and Tobago,1,550
846,Juan Carlos Ballesteros Villalobos,VILLALOBOS,Venezuela,1,550
846,Darren Van De Leuv,LEUV,Suriname,1,550
846,Hamadou Bappa Abdouraman,ABDOURAMAN,Cameroon,1,550
846,Trung Tin Tran,TRAN,Vietnam,1,550
846,Willian Guimaraes,GUIMARAES,Brazil,1,550
846,Joaquim Mendonça,MENDONÇA,Brazil,1,550
846,Daoud Aimen,AIMEN,Algeria,1,550
846,Félix Michel Kemene Atangana,ATANGANA,Cameroon,1,550
846,D'Artagnan Da Silva,SILVA,Brazil,1,550
846,Abrahan Jose Gutierrez,GUTIERREZ,Venezuela,1,550
846,Hember Jose Zambrano,ZAMBRANO,Venezuela,1,550
846,Jhon Gabriel Carmona Sangroni,SANGRONI,Venezuela,1,550
846,Andrew Babwah,BABWAH,Trinidad and Tobago,1,550
846,Erick Furuchi,FURUCHI,Brazil,1,550
846,Nolan Chanthakesone,CHANTHAKESONE,Switzerland,1,550
846,Ethan Ramcharan,RAMCHARAN,Trinidad and Tobago,1,550
846,Caio Henrique Da Silva,SILVA,Brazil,1,550
846,Shun Khiat Goh,GOH,Malaysia,1,550
846,Thuan Kim,KIM,Vietnam,1,550
846,Jadon Tsang,TSANG,Canada,1,550
846,Gustavo Alejandro Albornoz Ledezma,LEDEZMA,Venezuela,1,550
846,Alex Paul,PAUL,Trinidad and Tobago,1,550
846,Edward Suria,SURIA,El Salvador,1,550
846,Antony Alejandro Alvarado,ALVARADO,Venezuela,1,550
846,Adithya Annan,ANNAN,United Arab Emirates,1,550
846,Timotius Elbert,ELBERT,Australia,1,550
846,Marlon Adonay Mancia Vides,VIDES,El Salvador,1,550
846,Muhammad Hairil Hamdani,HAMDANI,Indonesia,1,550
846,Victor Hugo Del Valle,VALLE,Guatemala,1,550
846,Matheri Joseph Githitu,GITHITU,Kenya,1,550
846,Samy Khaldi,KHALDI,Algeria,1,550
846,Patrick Dickson,DICKSON,Trinidad and Tobago,1,550
846,Freddy Lopez,LOPEZ,Dominican Republic,1,550
846,Wilson Cinco,CINCO,Venezuela,1,550
846,Roger Mouyalbe,MOUYALBE,Equatorial Guinea,1,550
846,Viet Khang Nguyen,NGUYEN,Vietnam,1,550
846,Ryan Sinanan,SINANAN,Trinidad and Tobago,1,550
908,Martin Ouazzen,OUAZZEN,France,4,540
908,Lucas Douce,DOUCE,Mauritius,4,540
910,Ethan Ao Jun Chan,CHAN,Canada,4,530
911,Mebel Mano Kurian,KURIAN,Wales,2,530
912,Eliel Melleri,MELLERI,Finland,5,520
913,Jorgen Rosenlund,ROSENLUND,Norway,4,520
914,Tejraj Pultoo,PULTOO,Mauritius,3,520
914,Le Manh An Tran,TRAN,Vietnam,3,520
914,Muhammad Ssali,SSALI,Uganda,3,520
914,Felix Wright,WRIGHT,England,3,520
918,Guillermo Buendia Maldonado,MALDONADO,Peru,2,520
918,Joseph Abel,ABEL,Nigeria,2,520
918,José Daniel Ochoa,OCHOA,Guatemala,2,520
918,Maurice Martin Revilla,REVILLA,Peru,2,520
918,Saul Andrade Yanque,YANQUE,Peru,2,520
918,Remo Blondet Martinez,MARTINEZ,Peru,2,520
918,Abba Mohammed,MOHAMMED,Nigeria,2,520
925,Marton Szerecz,SZERECZ,Hungary,6,510
926,Niilo Nyqvist,NYQVIST,Finland,4,510
927,Tian Shun Zhu,ZHU,China,1,510
928,Jasper Koppen,KOPPEN,Netherlands,6,490
929,Thoif Ahmed Mohamed,MOHAMED,Maldives,5,490
930,Gnana Harsha Jetty,JETTY,India,2,490
930,Wei Jun Teo,TEO,Malaysia,2,490
932,Stanimir Terziev,TERZIEV,Bulgaria,4,480
933,Kjell Wagener,WAGENER,Germany,3,480
933,Aakash Ravikumar,RAVIKUMAR,United Arab Emirates,3,480
935,Fabrizio Tabini Pinasco,PINASCO,Peru,2,480
936,Archie Bult,BULT,Wales,5,470
937,Cristian Savin,SAVIN,Moldova,3,470
938,Tony Lindelöf,LINDELÖF,Finland,4,460
939,Dennis Omara,OMARA,Uganda,3,460
939,Vaishnav Russeean,RUSSEEAN,Mauritius,3,460
939,Mohammad Walugembe,WALUGEMBE,Uganda,3,460
939,Shilton Tayebwa,TAYEBWA,Uganda,3,460
943,Shawn Hiu,HIU,Malaysia,2,460
943,Bhawesh Pandey,PANDEY,India,2,460
943,Hoang Kha Tran,TRAN,Vietnam,2,460
946,Adam Konczol,KONCZOL,Hungary,6,450
947,Danny Robson,ROBSON,Scotland,3,450
948,Bruno Agaba,AGABA,Uganda,2,450
948,Ismail Mungufeni,MUNGUFENI,Uganda,2,450
948,Franco Motto,MOTTO,Argentina,2,450
948,Shaurya Gupta,GUPTA,Uganda,2,450
948,Brendan Lee,LEE,Cook Islands,2,450
953,Rohith Mariswamy,MARISWAMY,India,3,440
954,Toma Noda,NODA,Japan,2,433
955,Gal Bizjak,BIZJAK,Slovenia,9,430
956,Rune Van Dalm,DALM,Netherlands,7,430
957,Alexander Ringbæk,RINGBÆK,Denmark,2,430
957,Aditya Chouhan,CHOUHAN,India,2,430
959,Hyung Seok Kang,KANG,Korea,1,430
959,Shaurya Madaan,MADAAN,Australia,1,430
959,Ytharth Madaan,MADAAN,Australia,1,430
962,Ragnar Sepp,SEPP,Estonia,4,420
963,H. Leihong Konyak,KONYAK,India,2,420
963,Seong Hyun Son,SON,Korea,2,420
963,Hong Je Lee,LEE,Korea,2,420
963,Sang Ho Lee,LEE,Korea,2,420
963,Guna Kusal Dhulupudi,DHULUPUDI,Uganda,2,420
968,Raphael Chenu,CHENU,France,6,400
969,Neo Rahlolo,RAHLOLO,Lesotho,3,400
970,Lars Kros,KROS,Netherlands,2,400
970,Andrew Zhuang,ZHUANG,Canada,2,400
972,Shaun Ally Aamir,AAMIR,Scotland,8,390
973,Soen Rimmer,RIMMER,Switzerland,6,390
974,Tonni Zhou,ZHOU,Italy,4,390
975,Iljo Van Delsen,DELSEN,Belgium,9,380
976,David Smutný,SMUTNÝ,Czech Republic,7,380
977,Ivan Medynskiy,MEDYNSKIY,Ukraine,3,380
977,Emil Dantler,DANTLER,Austria,3,380
979,Mads Storm Randrup,RANDRUP,Denmark,2,380
979,Shae Michael Martin,MARTIN,Barbados,2,380
979,Teiva Politi,POLITI,French Polynesia (Tahiti),2,380
979,Nikhit Laxman,LAXMAN,India,2,380
979,"Darrell, Sen Xian Chew",CHEW,Malaysia,2,380
979,Hong Quan Lok,LOK,Malaysia,2,380
985,Marian Liptak,LIPTAK,Slovakia,9,370
986,Marius Reboul L'Alexandre,L'ALEXANDRE,France,5,370
