ranking,player_name,jorsey_name,country,tournaments,points
110,Markus Barth,BARTH,Norway,21,14660
111,Jason Gunawan,GUNAWAN,Hong Kong China,9,14630
112,Daniil Dubovenko,DUBOVENKO,Israel,9,14600
113,Luka Wraber,WRABER,Austria,18,14593
114,Kuan-Ting Lin,LIN,Chinese Taipei,14,14540
115,Krishna Adi Nugraha,NUGRAHA,Indonesia,7,14420
116,Bernardo Atilano,ATILANO,Portugal,17,14388
117,Meiraba Luwang Maisnam,MAISNAM,India,19,14263
118,Kartikey Gulshan Kumar,KUMAR,India,12,14130
119,Nathan Tang,TANG,Australia,16,13990
120,Adham Hatem Elgamal,ELGAMAL,Egypt,18,13836
121,Yun Gyu Lee,LEE,Korea,9,13817
122,Chirag Sen,SEN,India,15,13780
123,Victor Lai,LAI,Canada,10,13780
124,Karan Rajan Rajarajan,RAJARAJAN,Denmark,13,13720
125,Enogat Roy,ROY,France,16,13406
126,Job Castillo,CASTILLO,Mexico,11,13390
127,Ken Yon Ong,ONG,Malaysia,10,13200
128,Zhen Yi Ong,ONG,Malaysia,12,12910
129,Samuel O’Brien Ricketts,RICKETTS,Jamaica,16,12630
130,Kim Sheng Chua,CHUA,Malaysia,12,12490
131,Harshit Aggarwal,AGGARWAL,India,15,12470
132,Harry Huang,HUANG,England,14,12430
133,Adriano Viale Aguirre,AGUIRRE,Peru,12,12395
134,Panitchaphon Teeraratsakul,TEERARATSAKUL,Thailand,13,12342
135,Xiaodong Sheng,SHENG,Canada,16,12230
136,Victor Ørding Kauffmann,KAUFFMANN,Denmark,12,12100
137,Seng Zoe Yeoh,YEOH,Malaysia,8,12100
138,Ryoma Muramoto,MURAMOTO,Japan,11,12090
139,Yang Yang,YANG,Chinese Taipei,9,12030
140,Ravi Ravi,RAVI,India,8,11940
141,Justin Ma,MA,USA,20,11880
142,Georges Julien Paul,PAUL,Mauritius,15,11871
143,Johnnie Torjussen,TORJUSSEN,England,15,11852
144,Armando Gaitan,GAITAN,Mexico,10,11841
145,Yu Huang,HUANG,Chinese Taipei,8,11660
146,Sankeerth B. R.,R.,Canada,18,11622
147,Milan Dratva,DRATVA,Slovakia,13,11550
148,Chi Ting Chen,CHEN,Chinese Taipei,12,11550
149,Shahyar Shaqeem,SHAQEEM,Malaysia,10,11540
150,Somi Romdhani,ROMDHANI,United Arab Emirates,11,11470
151,Brian Kasirye,KASIRYE,Uganda,10,11429
152,Samuel Hsiao,HSIAO,Germany,25,11392
153,Takuma Kawamoto,KAWAMOTO,Japan,5,11350
154,Minoru Koga,KOGA,Japan,6,11200
155,Rohan Midha,MIDHA,England,29,11160
156,Pyeong Gang Choi,CHOI,Korea,7,11050
157,Shun Yang Lee,LEE,Malaysia,9,10830
158,Jacob Schueler,SCHUELER,Australia,15,10824
159,Joel König,KÖNIG,Switzerland,18,10790
160,Rithvik Sanjeevi Satish Kumar,KUMAR,India,13,10790
161,Keita Makino,MAKINO,Japan,5,10760
162,Chong King Lim,LIM,Malaysia,11,10750
163,Gergo Pytel,PYTEL,Hungary,14,10702
164,Jing Hong Kok,KOK,Malaysia,10,10640
165,Raghu Mariswamy,MARISWAMY,India,9,10630
166,Edward Lau,LAU,New Zealand,6,10550
167,Geonyeop Cho,CHO,Korea,8,10503
168,Ricky Tang,TANG,Australia,10,10345
169,Yeison Esleiter Del Cid Alvarez,ALVAREZ,Guatemala,9,10320
170,Valentin Singer,SINGER,France,16,10280
171,Yohanes Saut Marcellyno,MARCELLYNO,Indonesia,8,10130
172,Julien Scheiwiller,SCHEIWILLER,Switzerland,17,10117
173,Kwang Hee Heo,HEO,Korea,5,10070
174,Dimitar Yanakiev,YANAKIEV,Bulgaria,11,9925
175,Andi Fadel Muhammad,MUHAMMAD,Indonesia,8,9920
176,Chia Hung Lu,LU,Chinese Taipei,11,9890
177,Siddhanth Gupta,GUPTA,India,13,9880
178,Enrico Asuncion,ASUNCION,USA,18,9748
179,Arunesh Hari,HARI,India,11,9660
180,Shota Omoto,OMOTO,Japan,6,9660
181,Sacha Leveque,LEVEQUE,France,15,9650
182,Harsheel Dani,DANI,India,10,9640
183,Abhishek Yeligar,YELIGAR,India,12,9620
184,Imran Wadia,WADIA,Canada,11,9240
185,Yanis Gaudin,GAUDIN,France,13,9160
